Date,Ball_1,Ball_2,Ball_3,Ball_4,Ball_5,Ball_6,Bonus_Ball
26/05/2015,2,5,10,12,18,26,4
30/05/2015,6,8,11,23,32,35,4
02/06/2015,4,17,18,24,27,36,2
06/06/2015,4,6,8,18,27,37,4
09/06/2015,3,8,10,12,28,37,5
13/06/2015,3,4,14,18,32,35,2
16/06/2015,17,18,20,21,26,32,3
20/06/2015,3,5,7,13,17,28,4
23/06/2015,8,11,18,21,24,30,4
27/06/2015,2,6,13,16,27,33,3
30/06/2015,11,13,20,29,30,37,7
04/07/2015,2,14,22,23,25,28,5
07/07/2015,1,6,9,13,23,35,2
11/07/2015,5,15,22,23,25,29,6
14/07/2015,2,16,21,26,33,34,2
18/07/2015,2,3,11,18,25,27,5
21/07/2015,16,21,27,28,32,37,7
26/07/2015,7,9,16,23,29,30,3
28/07/2015,24,27,30,34,35,37,5
01/08/2015,5,7,9,17,19,29,3
04/08/2015,13,21,22,26,29,34,3
08/08/2015,2,6,17,29,31,35,3
11/08/2015,5,8,16,21,34,35,3
15/08/2015,3,7,14,24,27,28,2
18/08/2015,4,7,12,14,17,34,4
22/08/2015,16,17,18,20,28,35,3
25/08/2015,1,8,11,17,25,30,6
29/08/2015,5,7,8,15,19,26,3
01/09/2015,10,18,22,27,31,35,1
05/09/2015,5,6,10,15,28,29,7
08/09/2015,19,21,22,24,30,37,5
12/09/2015,6,9,15,23,24,28,4
16/09/2015,11,14,18,20,22,33,7
19/09/2015,1,8,11,23,30,35,6
21/09/2015,5,12,13,33,35,36,1
26/09/2015,5,6,8,11,20,27,7
29/09/2015,12,15,18,20,23,29,6
03/10/2015,9,17,23,28,30,36,7
06/10/2015,2,8,12,14,17,21,4
10/10/2015,5,6,16,17,20,22,7
13/10/2015,1,6,15,17,20,32,6
17/10/2015,2,3,13,21,22,31,6
20/10/2015,1,6,9,10,12,17,3
24/10/2015,9,13,15,20,25,36,6
27/10/2015,2,20,26,27,28,30,1
31/10/2015,14,20,22,26,31,37,5
03/11/2015,10,12,19,25,26,36,2
07/11/2015,18,19,29,34,35,36,1
10/11/2015,3,4,10,11,30,32,5
14/11/2015,10,17,18,22,24,29,1
17/11/2015,3,5,6,19,23,35,3
21/11/2015,7,9,14,21,26,34,5
24/11/2015,6,8,21,25,30,35,6
28/11/2015,7,19,27,29,34,35,7
01/12/2015,2,9,18,23,29,33,5
05/12/2015,4,17,18,23,25,28,2
08/12/2015,6,10,15,18,27,34,6
12/12/2015,4,9,10,12,13,29,4
15/12/2015,3,6,9,10,17,36,5
19/12/2015,1,11,13,25,27,29,7
22/12/2015,2,11,13,17,25,27,5
26/12/2015,14,21,27,31,32,35,5
29/12/2015,4,7,13,16,17,27,6
02/01/2016,1,13,15,30,31,32,2
05/01/2016,3,15,17,20,21,37,1
09/01/2016,3,12,14,24,32,34,6
12/01/2016,1,4,5,16,21,29,1
16/01/2016,1,8,13,27,32,37,2
19/01/2016,6,19,24,25,26,37,7
23/01/2016,5,16,18,23,24,26,6
26/01/2016,17,18,25,28,30,34,5
30/01/2016,8,9,11,12,13,22,4
02/02/2016,1,13,19,22,34,35,6
06/02/2016,1,4,11,19,30,32,4
09/02/2016,2,10,14,15,21,29,2
13/02/2016,2,13,14,19,21,30,1
16/02/2016,8,14,16,20,24,30,1
20/02/2016,2,5,21,29,34,37,3
23/02/2016,6,10,25,31,35,37,4
27/02/2016,3,18,19,22,24,26,7
01/03/2016,7,15,17,19,27,30,4
05/03/2016,1,2,7,8,9,26,2
08/03/2016,5,19,23,25,30,31,3
12/03/2016,1,5,14,21,27,30,7
15/03/2016,7,15,17,18,20,32,5
19/03/2016,6,9,17,26,27,36,6
22/03/2016,9,16,22,27,31,32,6
26/03/2016,6,10,14,15,26,36,3
29/03/2016,1,10,11,13,18,25,7
02/04/2016,3,15,26,28,32,33,4
05/04/2016,4,8,16,20,21,36,3
09/04/2016,5,8,11,20,29,36,4
12/04/2016,2,7,10,18,24,26,5
16/04/2016,7,13,19,32,35,37,6
19/04/2016,3,7,12,22,27,36,2
23/04/2016,2,5,6,14,22,32,3
26/04/2016,12,13,20,25,27,30,6
01/05/2016,2,6,8,14,29,34,3
03/05/2016,5,22,25,33,35,36,1
07/05/2016,1,9,20,25,27,31,4
10/05/2016,5,6,10,20,26,29,3
14/05/2016,13,17,20,26,35,37,2
17/05/2016,2,4,14,19,20,33,1
21/05/2016,3,5,6,13,26,29,1
24/05/2016,8,12,15,24,28,33,5
28/05/2016,4,6,14,22,28,29,4
31/05/2016,1,5,7,18,25,36,1
04/06/2016,5,8,17,31,32,37,7
07/06/2016,8,9,21,22,26,37,6
12/06/2016,1,20,23,24,26,32,7
14/06/2016,5,6,9,12,26,34,4
18/06/2016,12,14,16,29,32,37,5
21/06/2016,7,11,19,25,28,37,4
25/06/2016,2,12,21,23,28,31,6
28/06/2016,11,12,18,19,32,37,4
02/07/2016,3,7,10,21,33,35,2
05/07/2016,7,12,18,22,32,36,3
09/07/2016,1,2,5,16,24,34,7
12/07/2016,6,14,18,26,29,36,7
16/07/2016,4,6,15,24,31,37,4
19/07/2016,5,10,13,17,25,36,3
23/07/2016,1,9,15,20,23,28,4
26/07/2016,10,13,16,24,27,37,2
30/07/2016,2,12,20,28,30,33,5
02/08/2016,7,26,28,30,31,34,1
06/08/2016,1,25,34,35,36,37,2
09/08/2016,6,8,9,14,16,17,4
14/08/2016,1,3,15,27,31,35,7
16/08/2016,1,2,32,34,36,37,6
20/08/2016,3,4,5,27,30,36,3
23/08/2016,4,6,18,26,29,34,1
27/08/2016,12,13,15,20,21,32,1
30/08/2016,3,11,12,15,21,26,6
03/09/2016,1,4,16,26,28,37,5
06/09/2016,7,13,14,28,29,35,6
10/09/2016,5,7,10,13,24,33,7
13/09/2016,1,10,11,12,18,19,5
17/09/2016,11,14,22,26,27,33,7
20/09/2016,5,9,19,21,22,34,2
24/09/2016,9,15,17,25,27,32,3
27/09/2016,5,11,18,20,30,35,5
01/10/2016,14,20,23,25,26,35,3
05/10/2016,9,11,14,16,27,37,1
08/10/2016,1,9,10,21,24,32,1
10/10/2016,3,8,17,20,22,30,3
15/10/2016,9,20,22,23,24,29,6
18/10/2016,4,5,9,12,16,29,3
22/10/2016,1,6,12,14,36,37,3
25/10/2016,4,16,19,25,29,37,6
29/10/2016,4,16,21,23,24,27,3
01/11/2016,12,18,20,21,29,35,4
05/11/2016,3,9,13,16,22,34,6
08/11/2016,4,11,12,26,28,29,6
12/11/2016,2,14,16,18,32,37,3
15/11/2016,2,11,21,22,26,32,6
19/11/2016,13,16,19,22,25,31,2
22/11/2016,2,3,5,8,23,29,4
26/11/2016,1,12,13,29,32,36,1
29/11/2016,1,8,20,25,33,37,7
03/12/2016,6,16,20,25,26,27,6
06/12/2016,2,5,9,13,26,29,2
10/12/2016,8,9,15,21,26,29,3
13/12/2016,4,12,16,28,29,31,5
17/12/2016,1,2,10,12,26,29,6
20/12/2016,1,3,4,10,16,17,1
24/12/2016,5,8,21,28,31,35,2
27/12/2016,8,10,12,24,25,29,3
31/12/2016,11,13,27,30,32,34,6
03/01/2017,1,3,6,27,29,33,7
07/01/2017,5,6,9,17,24,31,7
10/01/2017,14,15,19,31,34,35,3
14/01/2017,5,7,10,15,26,37,7
17/01/2017,3,9,14,15,21,22,3
21/01/2017,8,9,12,13,29,34,5
24/01/2017,10,13,16,17,26,34,7
28/01/2017,5,8,11,16,22,29,6
31/01/2017,1,6,11,14,17,27,4
04/02/2017,4,22,24,25,26,29,6
07/02/2017,5,12,16,22,27,31,4
11/02/2017,12,15,17,18,22,26,1
14/02/2017,16,18,19,30,31,32,3
18/02/2017,6,8,14,19,20,37,5
